Drama,Episode,PostPositive_0,PostNegative_0,CommentPositive_0,CommentNegative_0,PostPositive_1,PostNegative_1,CommentPositive_1,CommentNegative_1,PostPositive_2,PostNegative_2,CommentPositive_2,CommentNegative_2,PostPositive_3,PostNegative_3,CommentPositive_3,CommentNegative_3
我們發財了,64,45,18,208,156,122,84,482,300,382,281,692,466,249,144,2126,356
我們發財了,65,173,98,401,239,45,18,208,156,122,84,482,300,382,281,692,466
我們發財了,66,357,225,694,487,173,98,401,239,45,18,208,156,122,84,482,300
我們發財了,67,191,139,710,495,357,225,694,487,173,98,401,239,45,18,208,156
我們發財了,68,301,183,444,276,191,139,710,495,357,225,694,487,173,98,401,239
我們發財了,69,38,23,149,88,73,44,193,136,167,98,285,154,301,183,444,276
我們發財了,70,185,143,336,214,38,23,149,88,73,44,193,136,167,98,285,154
我們發財了,71,336,264,800,565,185,143,336,214,38,23,149,88,73,44,193,136
我們發財了,72,289,218,362,291,336,264,800,565,185,143,336,214,38,23,149,88
我們發財了,73,369,322,703,595,289,218,362,291,336,264,800,565,185,143,336,214
我們發財了,74,75,30,421,257,200,173,413,267,421,324,697,491,369,322,703,595
我們發財了,75,204,132,568,418,75,30,421,257,200,173,413,267,421,324,697,491
我們發財了,76,157,122,502,399,204,132,568,418,75,30,421,257,200,173,413,267
我們發財了,77,202,176,510,244,157,122,502,399,204,132,568,418,75,30,421,257
我們發財了,78,232,163,334,239,202,176,510,244,157,122,502,399,204,132,568,418
我們發財了,79,101,79,310,206,299,230,567,374,209,119,685,448,232,163,334,239
我們發財了,80,125,61,476,323,101,79,310,206,299,230,567,374,209,119,685,448
我們發財了,81,130,65,432,273,125,61,476,323,101,79,310,206,299,230,567,374
我們發財了,82,223,93,580,321,130,65,432,273,125,61,476,323,101,79,310,206
我們發財了,83,157,91,567,350,223,93,580,321,130,65,432,273,125,61,476,323
我們發財了,84,22,13,151,79,67,30,313,146,106,43,273,229,157,91,567,350
我們發財了,85,97,49,5414,144,22,13,151,79,67,30,313,146,106,43,273,229
我們發財了,86,127,58,653,141,97,49,5414,144,22,13,151,79,67,30,313,146
我們發財了,87,113,59,366,209,127,58,653,141,97,49,5414,144,22,13,151,79
我們發財了,88,91,48,171,82,113,59,366,209,127,58,653,141,97,49,5414,144
我們發財了,89,17,4,38,8,105,39,141,53,84,35,459,264,91,48,171,82
美味的想念,1,16,1,20,3,29,9,103,12,16,1,3,0,12,4,14,4
美味的想念,2,84,21,262,74,16,1,20,3,29,9,103,12,16,1,3,0
美味的想念,3,45,3,17,2,148,3,19,4,230,17,51,6,126,38,150,26
美味的想念,4,58,18,127,25,45,3,17,2,148,3,19,4,230,17,51,6
美味的想念,5,81,19,426,20,58,18,127,25,45,3,17,2,148,3,19,4
美味的想念,6,86,31,367,30,81,19,426,20,58,18,127,25,45,3,17,2
美味的想念,7,10,1,39,12,14,8,65,25,112,48,179,65,88,43,367,69
美味的想念,8,58,17,157,35,10,1,39,12,14,8,65,25,112,48,179,65
美味的想念,9,73,40,415,119,58,17,157,35,10,1,39,12,14,8,65,25
美味的想念,10,157,53,1091,224,73,40,415,119,58,17,157,35,10,1,39,12
美味的想念,11,6,1,93,78,15,5,140,130,92,44,597,500,125,51,967,895
美味的想念,12,120,43,486,219,6,1,93,78,15,5,140,130,92,44,597,500
美味的想念,13,82,47,437,286,120,43,486,219,6,1,93,78,15,5,140,130
美味的想念,14,148,81,568,352,82,47,437,286,120,43,486,219,6,1,93,78
美味的想念,15,55,17,362,92,47,6,270,69,37,4,403,33,84,28,828,224
美味的想念,16,90,41,442,199,55,17,362,92,47,6,270,69,37,4,403,33
美味的想念,17,197,85,642,238,90,41,442,199,55,17,362,92,47,6,270,69
美味的想念,18,49,17,233,126,54,9,274,95,91,14,422,152,196,47,696,202
美味的想念,19,139,71,635,375,49,17,233,126,54,9,274,95,91,14,422,152
美味的想念,20,190,105,696,359,139,71,635,375,49,17,233,126,54,9,274,95
美味的想念,21,134,61,958,560,190,105,696,359,139,71,635,375,49,17,233,126
美味的想念,22,32,5,297,46,22,8,172,74,60,19,429,123,164,73,710,442
美味的想念,23,113,48,532,185,118,58,454,122,32,5,297,46,22,8,172,74
美味的想念,24,135,56,698,274,113,48,532,185,118,58,454,122,32,5,297,46
美味的想念,25,124,54,292,133,24,5,194,71,110,39,371,145,182,71,2744,257
美味的想念,26,84,40,317,112,124,54,292,133,24,5,194,71,110,39,371,145
美味的想念,27,114,52,563,318,84,40,317,112,124,54,292,133,24,5,194,71
美味的想念,28,161,90,689,338,114,52,563,318,84,40,317,112,124,54,292,133
美味的想念,29,20,5,167,81,31,19,153,69,70,19,726,308,157,74,744,354
美味的想念,30,117,49,485,181,20,5,167,81,31,19,153,69,70,19,726,308
美味的想念,31,112,62,539,262,117,49,485,181,20,5,167,81,31,19,153,69
美味的想念,32,131,81,482,272,112,62,539,262,117,49,485,181,20,5,167,81
美味的想念,33,12,2,123,32,30,10,134,54,87,58,354,224,120,128,586,433
美味的想念,34,95,64,442,240,12,2,123,32,30,10,134,54,87,58,354,224
美味的想念,35,143,93,733,442,95,64,442,240,12,2,123,32,30,10,134,54
美味的想念,36,143,70,1188,505,143,93,733,442,95,64,442,240,12,2,123,32
美味的想念,37,54,18,361,189,76,16,662,371,110,54,829,430,154,113,853,494
美味的想念,38,248,102,966,264,54,18,361,189,76,16,662,371,110,54,829,430
兩個爸爸,1,,,,,,,,,,,,,,,,
兩個爸爸,2,,,,,,,,,,,,,,,,
兩個爸爸,3,,,,,,,,,,,,,,,,
兩個爸爸,4,,,,,,,,,,,,,,,,
兩個爸爸,5,,,,,,,,,,,,,,,,
兩個爸爸,6,,,,,,,,,,,,,,,,
兩個爸爸,7,,,,,,,,,,,,,,,,
兩個爸爸,8,,,,,,,,,,,,,,,,
兩個爸爸,9,,,,,,,,,,,,,,,,
兩個爸爸,10,,,,,,,,,,,,,,,,
兩個爸爸,11,,,,,,,,,,,,,,,,
兩個爸爸,12,,,,,,,,,,,,,,,,
兩個爸爸,13,,,,,,,,,,,,,,,,
兩個爸爸,14,,,,,,,,,,,,,,,,
兩個爸爸,15,,,,,,,,,,,,,,,,
兩個爸爸,16,,,,,,,,,,,,,,,,
兩個爸爸,17,,,,,,,,,,,,,,,,
兩個爸爸,18,,,,,,,,,,,,,,,,
兩個爸爸,19,,,,,,,,,,,,,,,,
兩個爸爸,20,,,,,,,,,,,,,,,,
兩個爸爸,21,,,,,,,,,,,,,,,,
兩個爸爸,22,,,,,,,,,,,,,,,,
兩個爸爸,23,,,,,,,,,,,,,,,,
兩個爸爸,24,,,,,,,,,,,,,,,,
兩個爸爸,25,,,,,,,,,,,,,,,,
兩個爸爸,26,,,,,,,,,,,,,,,,
兩個爸爸,27,,,,,,,,,,,,,,,,
兩個爸爸,28,,,,,,,,,,,,,,,,
兩個爸爸,29,,,,,,,,,,,,,,,,
兩個爸爸,30,,,,,,,,,,,,,,,,
兩個爸爸,31,,,,,,,,,,,,,,,,
兩個爸爸,32,,,,,,,,,,,,,,,,
兩個爸爸,33,,,,,,,,,,,,,,,,
兩個爸爸,34,,,,,,,,,,,,,,,,
兩個爸爸,35,,,,,,,,,,,,,,,,
兩個爸爸,36,,,,,,,,,,,,,,,,
兩個爸爸,37,,,,,,,,,,,,,,,,
兩個爸爸,38,,,,,,,,,,,,,,,,
兩個爸爸,39,,,,,,,,,,,,,,,,
兩個爸爸,40,,,,,,,,,,,,,,,,
兩個爸爸,41,,,,,,,,,,,,,,,,
兩個爸爸,42,,,,,,,,,,,,,,,,
兩個爸爸,43,,,,,,,,,,,,,,,,
兩個爸爸,44,,,,,,,,,,,,,,,,
兩個爸爸,45,,,,,,,,,,,,,,,,
兩個爸爸,46,,,,,,,,,,,,,,,,
兩個爸爸,47,,,,,,,,,,,,,,,,
兩個爸爸,48,,,,,,,,,,,,,,,,
兩個爸爸,49,,,,,,,,,,,,,,,,
兩個爸爸,50,,,,,,,,,,,,,,,,
兩個爸爸,51,,,,,,,,,,,,,,,,
兩個爸爸,52,,,,,,,,,,,,,,,,
兩個爸爸,53,,,,,,,,,,,,,,,,
兩個爸爸,54,,,,,,,,,,,,,,,,
兩個爸爸,55,,,,,,,,,,,,,,,,
兩個爸爸,56,,,,,,,,,,,,,,,,
兩個爸爸,57,,,,,,,,,,,,,,,,
兩個爸爸,58,,,,,,,,,,,,,,,,
兩個爸爸,59,,,,,,,,,,,,,,,,
兩個爸爸,60,,,,,,,,,,,,,,,,
