"Drama","Episode","Ratings_1"
"我們發財了",59,1.88
"我們發財了",60,1.88
"我們發財了",61,1.88
"我們發財了",62,1.88
"我們發財了",63,1.88
"我們發財了",64,1.88
"我們發財了",65,1.88
"我們發財了",66,1.88
"我們發財了",67,1.88
"我們發財了",68,1.88
"我們發財了",69,1.88
"我們發財了",70,1.88
"我們發財了",71,1.88
"我們發財了",72,1.88
"我們發財了",73,1.88
"我們發財了",74,1.88
"我們發財了",75,1.88
"我們發財了",76,1.88
"我們發財了",77,1.88
"我們發財了",78,1.88
"我們發財了",79,1.88
"我們發財了",80,1.88
"我們發財了",81,1.88
"我們發財了",82,1.88
"我們發財了",83,1.88
"我們發財了",84,1.88
"我們發財了",85,1.88
"我們發財了",86,1.88
"我們發財了",87,1.88
"我們發財了",88,1.88
"我們發財了",89,1.88
"美味的想念",1,0.94
"美味的想念",2,0.94
"美味的想念",3,0.94
"美味的想念",4,0.94
"美味的想念",5,0.94
"美味的想念",6,0.94
"美味的想念",7,0.94
"美味的想念",8,0.94
"美味的想念",9,0.94
"美味的想念",10,0.94
"美味的想念",11,0.94
"美味的想念",12,0.94
"美味的想念",13,0.94
"美味的想念",14,0.94
"美味的想念",15,0.94
"美味的想念",16,0.94
"美味的想念",17,0.94
"美味的想念",18,0.94
"美味的想念",19,0.94
"美味的想念",20,0.94
"美味的想念",21,0.94
"美味的想念",22,0.94
"美味的想念",23,0.94
"美味的想念",24,0.94
"美味的想念",25,0.94
"美味的想念",26,0.94
"美味的想念",27,0.94
"美味的想念",28,0.94
"美味的想念",29,0.94
"美味的想念",30,0.94
"美味的想念",31,0.94
"美味的想念",32,0.94
"美味的想念",33,0.94
"美味的想念",34,0.94
"美味的想念",35,0.94
"美味的想念",36,0.94
"美味的想念",37,0.94
"美味的想念",38,0.94
"兩個爸爸",1,1.27
"兩個爸爸",2,1.27
"兩個爸爸",3,1.27
"兩個爸爸",4,1.27
"兩個爸爸",5,1.27
"兩個爸爸",6,1.27
"兩個爸爸",7,1.27
"兩個爸爸",8,1.27
"兩個爸爸",9,1.27
"兩個爸爸",10,1.27
"兩個爸爸",11,1.27
"兩個爸爸",12,1.27
"兩個爸爸",13,1.27
"兩個爸爸",14,1.27
"兩個爸爸",15,1.27
"兩個爸爸",16,1.27
"兩個爸爸",17,1.27
"兩個爸爸",18,1.27
"兩個爸爸",19,1.27
"兩個爸爸",20,1.27
"兩個爸爸",21,1.27
"兩個爸爸",22,1.27
"兩個爸爸",23,1.27
"兩個爸爸",24,1.27
"兩個爸爸",25,1.27
"兩個爸爸",26,1.27
"兩個爸爸",27,1.27
"兩個爸爸",28,1.27
"兩個爸爸",29,1.27
"兩個爸爸",30,1.27
"兩個爸爸",31,1.27
"兩個爸爸",32,1.27
"兩個爸爸",33,1.27
"兩個爸爸",34,1.27
"兩個爸爸",35,1.27
"兩個爸爸",36,1.27
"兩個爸爸",37,1.27
"兩個爸爸",38,1.27
"兩個爸爸",39,1.27
"兩個爸爸",40,1.27
"兩個爸爸",41,1.27
"兩個爸爸",42,1.27
"兩個爸爸",43,1.27
"兩個爸爸",44,1.27
"兩個爸爸",45,1.27
"兩個爸爸",46,1.27
"兩個爸爸",47,1.27
"兩個爸爸",48,1.27
"兩個爸爸",49,1.27
"兩個爸爸",50,1.27
"兩個爸爸",51,1.27
"兩個爸爸",52,1.27
"兩個爸爸",53,1.27
"兩個爸爸",54,1.27
"兩個爸爸",55,1.27
"兩個爸爸",56,1.27
"兩個爸爸",57,1.27
"兩個爸爸",58,1.27
"兩個爸爸",59,1.27
"兩個爸爸",60,1.27
